Area,Bedrooms,Age,Location,Price
146,1,7.0,North,1253000
166,2,4.0,North,916000
105,2,5.0,South,1041000
232,5,37.0,North,1236000
381,1,30.0,South,2964000
285,3,29.0,East,1637000
243,3,33.0,North,1267000
402,2,5.0,South,3525000
281,4,24.0,South,2108000
440,3,0.0,East,3996000
354,4,39.0,North,3791000
437,3,16.0,South,3809000
472,1,16.0,East,3303000
105,1,12.0,South,962000
438,4,22.0,North,4801000
269,1,3.0,South,1650000
154,4,20.0,South,1014000
336,2,4.0,South,2178000
332,3,6.0,North,2735000
352,4,37.0,East,2825000
105,3,14.0,East,1223000
91,3,6.0,South,952000
360,3,7.0,South,3265000
332,2,6.0,North,2562000
141,3,,East,1290000
267,2,33.0,East,1342000
497,3,11.0,South,4396000
199,3,24.0,East,1283000
286,1,15.0,North,2060000
252,5,15.0,North,2547000
403,1,15.0,North,4007000
87,1,1.0,South,1273000
350,1,7.0,North,3524000
227,2,33.0,East,1164000
260,2,29.0,South,1610000
351,3,26.0,South,3203000
387,1,27.0,North,3686000
361,2,14.0,South,3064000
323,4,3.0,East,2329000
276,3,27.0,South,1900000
424,2,16.0,North,4328000
127,3,12.0,East,1508000
112,3,16.0,North,1052000
97,1,7.0,East,1068000
119,4,37.0,South,1104000
456,5,7.0,North,5305000
90,2,13.0,South,889000
357,1,11.0,South,2934000
115,4,18.0,North,1153000
479,1,,East,3485000
487,2,9.0,South,4112000
82,1,2.0,East,1387000
230,5,33.0,East,1420000
421,5,4.0,North,4998000
249,1,2.0,South,1870000
438,3,30.0,North,4523000
79,5,24.0,East,880000
126,5,5.0,South,1451000
406,4,2.0,South,4232000
50,4,8.0,East,739000
279,5,2.0,North,3231000
52,2,24.0,South,421000
353,2,24.0,North,3588000
391,5,38.0,North,4418000
328,3,10.0,East,2091000
379,1,25.0,South,3032000
392,1,7.0,East,2841000
169,4,23.0,South,1056000
487,5,19.0,North,5460000
393,3,2.0,East,3726000
477,2,9.0,North,5036000
102,4,37.0,North,882000
316,1,21.0,South,1863000
186,5,8.0,North,1311000
381,3,31.0,North,3903000
169,2,27.0,East,922000
345,4,2.0,North,3472000
362,4,,East,3065000
373,2,24.0,South,3201000
165,2,3.0,North,945000
377,4,22.0,North,4199000
162,5,29.0,North,961000
322,2,35.0,East,1512000
120,1,25.0,South,972000
313,5,30.0,North,2751000
383,4,8.0,North,4422000
66,4,22.0,East,688000
302,1,6.0,North,2253000
52,3,5.0,East,716000
409,5,23.0,North,4715000
182,5,32.0,East,1237000
79,1,31.0,South,565000
279,3,4.0,North,2385000
383,4,16.0,East,3236000
241,2,2.0,North,1753000
330,5,5.0,South,2652000
242,3,22.0,South,1404000
263,2,29.0,North,1914000
405,2,24.0,North,4037000
157,4,20.0,North,903000
289,2,20.0,North,2193000
268,5,18.0,North,2641000
271,2,1.0,North,2535000
257,4,14.0,East,1883000
182,1,24.0,North,845000
199,3,5.0,South,1226000
288,3,32.0,North,2166000
205,2,4.0,North,1194000
478,5,20.0,East,3997000
